keyword,cluster,subcluster,city,intent,priority,page_type,url_target,search_volume,competition,notes,semantic_group,seasonal_boost,industry_focus
"assistenza informatica milano",assistenza-it,generale,milano,commercial,1,city,/pages/assistenza-it-milano.html,720,high,"Primary Milano service page - tier 1 city",core-service,0,all
"supporto tecnico milano",assistenza-it,tecnico,milano,commercial,1,city,/pages/assistenza-it-milano.html,450,medium,"Secondary keyword for Milano page",core-service,0,all
"consulenza informatica milano",assistenza-it,consulenza,milano,commercial,1,city,/pages/assistenza-it-milano.html,380,medium,"B2B focused for Milano",core-service,0,business
"assistenza computer milano emergenza",assistenza-it,emergenza,milano,transactional,1,city,/pages/assistenza-it-milano.html,180,low,"High-intent emergency keyword",urgency,0,all
"sistemista milano 24h",assistenza-it,sistemista,milano,transactional,1,city,/pages/assistenza-it-milano.html,120,low,"Professional IT support",professional,0,business
"assistenza informatica bergamo",assistenza-it,generale,bergamo,commercial,1,city,/pages/assistenza-it-bergamo.html,290,medium,"Tier 1 city - manufacturing focus",core-service,0,manufacturing
"supporto it bergamo aziende",assistenza-it,aziendale,bergamo,commercial,1,city,/pages/assistenza-it-bergamo.html,95,low,"B2B Bergamo market",business-service,0,business
"assistenza informatica monza brianza",assistenza-it,generale,monza,commercial,1,city,/pages/assistenza-it-monza.html,240,medium,"Monza e Brianza coverage",core-service,0,all
"consulenza it monza",assistenza-it,consulenza,monza,commercial,1,city,/pages/assistenza-it-monza.html,140,medium,"Brianza business focus",business-service,0,business
"assistenza informatica como",assistenza-it,generale,como,commercial,2,city,/pages/assistenza-it-como.html,180,medium,"Lake Como area coverage",core-service,0,tourism
"sicurezza informatica milano",sicurezza-informatica,generale,milano,commercial,1,city,/pages/sicurezza-informatica-milano.html,680,high,"Primary cybersecurity Milano",cyber-core,0,finance
"cybersecurity milano aziende",sicurezza-informatica,aziendale,milano,commercial,1,city,/pages/sicurezza-informatica-milano.html,320,high,"Enterprise cybersecurity",cyber-enterprise,0,business
"protezione ransomware milano",sicurezza-informatica,ransomware,milano,transactional,1,city,/pages/sicurezza-informatica-milano.html,150,medium,"Ransomware protection focus",cyber-threat,+20,all
"firewall aziendale milano",sicurezza-informatica,firewall,milano,commercial,1,city,/pages/sicurezza-informatica-milano.html,110,medium,"Network security",cyber-infrastructure,0,business
"penetration test milano",sicurezza-informatica,testing,milano,commercial,2,service,/servizi/penetration-testing,85,low,"Security testing service",cyber-assessment,0,finance
